sent0,sent1,label
Joseph ordered a fridge at the bar.,Joseph ordered a cold beer at the bar.,0
She wore sandals to keep her feet warm.,She wore boots to keep her feet warm.,0
He burned his hand on a hot stove.,He burned his hand on a lukewarm stove.,1
The giraffes ate the leaves growing from the tree.,The giraffes ate the pizza growing from the tree.,1
He took a bath to get clean.,He took a car ride to get clean.,1
People like to go to the doctor to get their teeth fixed.,People like to go to the dentist to get their teeth fixed.,0
The chair was too smelly to fit under Simon's desk.,The chair was too tall to fit under Simon's desk.,0
You can buy fried chicken from Little Caesars.,You can buy fried chicken at KFC.,0
Accountants can typically help you file your taxes.,Accountants can typically help you fix your rocket ship.,1
He took a vacation in France.,He took  a vacation in Brad Pitt.,1
The raccoon ran up the tree to hide from the bear.,The bear ran up the tree to hide from the raccoon.,1
She wore the bracelet around her wrist.,She wore the stud earring around her wrist.,1
She read her textbook to study for the upcoming quiz.,She read a mattress tag to study for the upcoming quiz.,1
She stubbed her toe and it was euphoric.,She stubbed her toe and it was not pleasant.,0
People wear gloves on their feet to keep them warm.,People wear gloves on their hands to keep them warm.,0
A doctor uses a stethoscope to listen to a patient's heart.,A doctor uses a muffin to listen to a patient's heart.,1
All cars have a combustion engines.,All cars have engines.,0
"She turned the volume on the TV up, and it got quieter.","She turned the volume on the TV up, and it got louder.",0
The napkin put the food on the dinner plates.,The mother put the food on the dinner plates.,0
Most furniture requires assembly.,Most cats require assembly.,1
He drove his car to work.,He drove a frog to work.,1
Iron Bars are flimsy and light.,Iron bars are sturdy and heavy.,0
The old lady watched her favorite show on the television.,The old lady watched her favorite show on a phone book.,1
She takes her dog for a walk.,She takes her car for a walk.,1
The artist used bread to color in the picture.,The artist used oil pastels to color in the picture.,0
Dogs lit his cigarette.,Jimmy lit his cigarette..,0
He was addicted to alcohol and had to attend rehab.,He was addicted to shower curtains and had to attend rehab.,1
People usually wear trousers.,People usually wear chairs.,1
The cat climbed the tree.,The tree climbed on the cat.,1
Her grandfather is her grandson.,Her grandfather is her mother's father.,0
He stored a sock in the drawer.,He stored his dog in the drawer.,1
He built his house out of jelly.,He built his house out of bricks.,0
He deposited drugs into the bank.,He deposited cash into the bank.,0
My brother drove to work in his car.,My brother drove to work in his bed.,1
I want to learn how to play a dog.,I want to learn how to play a guitar.,0
I use my phone to call my friends..,I call my friends with an X-ray.,1
He wore a onesie to the wedding.,He wore a suit to the wedding.,0
He used a matchstick for writing.,He used a pen for writing.,0
Coffee is served hot.,Soda is served hot.,1
I walked around in the park today.,I swam around in the park today.,1
The feather made the floor shake when dropping it.,The toolbox made the floor shake when dropping it.,0
He wore the headphones over his hands to listen to the music.,He wore the headphones over his ears to listen to the music.,0
The dog went into the dog house.,The cow went into the dog house.,1
The man cooked a blender.,The man cooked a burger.,0
A student was taught by a teacher.,A teacher was taught by a student.,1
He walked on the lake.,He walked on the road.,0
I always have beer for breakfast.,I always eat french fries for breakfast.,0
He petted a fridge.,He petted a cat.,0
He carried his books with him in his coffee mug.,He carried his books with him in his backpack.,0
Since he was diabetic he had to take insulin shots regularly.,Since he was diabetic he ate more milkshakes.,1
It is better to bring up sensitive subjects when calm.,It is better to bring up sensitive subjects when angry.,1
The cup is in the table.,The cup sits on top of the table.,0
She looked as white as a ghost.,She looked as white as a bar of gold.,1
My shampoo smells like vanilla.,My vanilla smells like shampoo.,1
She is driving her dog to the vet.,Her Dog is driving to the vet.,1
Laundry is clothing.,Laundry is human flesh.,1
Submarines fly in the sky.,Submarines submerge under the water.,0
She put a finger in his butt.,She put a bowling ball in his butt.,1
The teacher used a mop to clean the spill.,The teacher used a brick to clean the spill.,1
I'm eating an apple.,I'm eating the soap.,1
I put butter on my toast.,I put a brick on my toast.,1
She parked her car on the airport runway every day.,She parked her car in her garage.,0
A play uses hired car dealers to perform.,A play uses hired actors to perform.,0
The school bully took my lunch money.,The school curriculum took my lunch money.,1
My father and I were throwing an anvil to each other while playing catch.,My father and I were throwing a baseball to each other while playing catch.,0
My mother enjoys walking our dog on a dog leash.,My dog enjoys walking my mother on a dog leash.,1
A balloon is a flexible bag that can be inflated with a gas.,A handbag is a flexible bag that can be inflated with a gas.,1
My dog ate some chicken scraps.,My toaster ate some chicken scraps.,1
The house is made of pine-cones.,The house is made of wood.,0
Plants cook their own food through photosynthesis.,Animals cook their own food through photosynthesis.,1
He put on sneakers to go for a swim.,He put on sneakers to go for a run.,0
She put on her jacket..,She put her dog.,1
Phone stores can be found inside salesmen.,Salesmen can be found inside a store.,0
Weeds grow in a garden.,Weeds grow in a sink.,1
Books are for riding.,Books are for reading.,0
The doctor sleeps at the circus tent.,The doctor sleeps at the hospital.,0
You are likely to find an anemone on a street corner.,You are likely to find an anemone in the ocean shallows.,0
She wore a woolly hat on a hot day.,She wore shorts on a hot day.,0
A gun is a kind of weapon.,A sponge is a kind of weapon.,1
I saw sharks in the ocean.,I saw bears in the ocean.,1
The child cried when she lost the race..,The rock cried when she lost the race.,1
Roses are pretty chickens.,Roses are pretty flowers.,0
River is flowing still while there is no water.,River is flowing down the narrow path.,0
Google is a search engine that has been around since the mid to late 90's.,Google is a pornographic website that has been around since the mid to late 90's.,1
A boat floats on water.,A boat floats on air.,1
"The tea was too astringent, and needed to cool down.","The tea was too hot, and needed to cool down.",0
The man had a fast turtle.,The man had a fast car.,0
she took a lion in the tub.,She took a bath in the tub.,0
I went to the art museum to by lemons.,I went to the grocery store to buy lemons.,0
Thunder happens with lightning always in the nights.,Thunder comes after lightning always in the nights.,0
A banana is a fruit.,A monkey is a fruit.,1
The boy dipped his cookie in milk.,The boy dipped his cookie in paint thinner.,1
"If a person stopped breathing, they would eventually die.","If a person stopped blinking, they would eventually die.",1
A camera is for taking pictures of dolphins.,A camera is for taking pictures.,0
Sometimes you can find a comic strip in a newspaper.,Sometimes you can find cheese in a newspaper.,1
A vulture was flying low.,A vulture was flying without wings.,1
I wipe my ass with sand paper.,I wipe my ass with toilet paper.,0
He went to the hospital to buy groceries.,He went to the supermarket to buy groceries.,0
He rode a horse.,He rode a cat.,1
The man put a block in the microwave.,The man put a sandwich in the microwave.,0
The library was filled with great books.,The library was filled with dead pets.,1
"If you take a shower at the circus, the clowns might attack you.",You can go to the circus if you want to see clowns.,0
The plumber came out this morning to fix the water pipes.,The plumber came out this morning to fix the gravy pipes.,1
I purchased my favorite pants at a thrift store..,I purchased my favorite pants at a greenhouse.,1
The boy ate soup with a jackhammer.,The boy ate soup with a spoon.,0
The young boy asked Santa for a new tricycle.,The young boy asked Satan for a new tricycle.,1
The boy chased the cat.,The cat played golf.,1
he likes to play games at his home.,he likes to play games at his day job.,1
David swam up the road.,David ran up the road.,0
I drank a glass of water.,I ate a glass of water.,1
Hats are for your head.,Hats are for your feet.,1
The toilet is set for dinner.,The dining room table is set for dinner.,0
The battery to the pencil died.,The battery to the remote died.,0
The car drove in the sky.,The car drove down the road.,0
The secretary told the boss to fetch him a cup of tea.,The boss told his secretary to fetch him a cup of tea..,0
